accession,organism_name,organism_tidy_name,country,isolation_source,genome_size,cell_type,temp_cat,classic,hybrid,unorthodox,h_pt,his_ka,che_a,ntr_c,prr_a,omp_r,nar_l,cy_c_c,lyt_tr,spo0a,yes_n,che_b,rpf_g,che_v,rsb_u,ami_r_nas_r,ple_d_vie_a,ple_d,vie_a,cit_t,che_y,csr_a,ycb_b,pil_b,lys_r,ars_r,frz_z,sarp,mer_r,bet_r,alp_a,hxl_r,xre,che_c,trx_b,lmb_e,wca_a,pgl_z,vie_b,hal_x,icl_r,unclassified
GCF_003206555.1,Microcystis aeruginosa Sj,Microcystis_aeruginosa_Sj,Japan: Lake Shinji,Eutrophic water,4617322,single,temperate,13,6,0,2,2,1,0,0,9,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_003208875.1,Prochlorococcus sp. AG-679-M23,Prochlorococcus_sp__AG_679_M23,Pacific Ocean,single cell amplified by WGA-X; seawater,1645990,single,temperate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_003213955.1,Prochlorococcus sp. AG-418-M08,Prochlorococcus_sp__AG_418_M08,Atlantic Ocean,single cell amplified by WGA-X; seawater,1664652,single,temperate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_003214815.1,Prochlorococcus sp. AG-412-J13,Prochlorococcus_sp__AG_412_J13,Atlantic Ocean,single cell amplified by WGA-X; seawater,1828325,single,temperate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_003215655.1,Prochlorococcus sp. AG-409-J16,Prochlorococcus_sp__AG_409_J16,Atlantic Ocean,single cell amplified by WGA-X; seawater,1843369,single,temperate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_003216615.1,Prochlorococcus sp. AG-402-M15,Prochlorococcus_sp__AG_402_M15,Pacific Ocean,single cell amplified by WGA-X; seawater,1605846,single,temperate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_003216775.1,Prochlorococcus sp. AG-402-K21,Prochlorococcus_sp__AG_402_K21,Pacific Ocean,single cell amplified by WGA-X; seawater,1635769,single,temperate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_003242035.1,Leptolyngbya foveolarum,Leptolyngbya_foveolarum,Antarctica,microbial mat ULC129,4750982,filament,cold-freezing,34,11,0,0,3,2,0,0,16,4,0,0,0,2,0,0,0,2,0,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
GCA_003242125.1,Phormidesmis priestleyi,Phormidesmis_priestleyi,Antarctica,microbial mat ULC007,5250385,filament,cold-freezing,52,26,0,2,1,3,0,0,16,12,2,0,0,0,1,1,0,1,0,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
GCA_003248995.1,Cyanobium sp. GCA_003248995.1,Cyanobium_sp_GCA_003248995.1,Antarctica,microbial mat ULC082,2793401,single,cold-freezing,8,0,0,0,1,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_003249115.1,Cyanobium sp. GCA_003249115.1,Cyanobium_sp_GCA_003249115.1,Antarctica,microbial mat ULC084,2820113,single,cold-freezing,7,0,0,0,1,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_003261315.1,Hapalosiphonaceae cyanobacterium JJU2,Hapalosiphonaceae_cyanobacterium_JJU2,Philippines: Marinduque,lab-maintained culture,7145071,filament,temperate,54,28,0,2,2,5,0,0,19,12,0,0,0,1,1,1,0,2,0,0,2,1,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10
GCA_003279785.1,Prochlorococcus sp. AG-388-J02,Prochlorococcus_sp__AG_388_J02,Atlantic Ocean,single cell amplified by WGA-X; seawater,1721047,single,temperate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_003279855.1,Prochlorococcus sp. AG-388-E21,Prochlorococcus_sp__AG_388_E21,Atlantic Ocean,single cell amplified by WGA-X; seawater,1661104,single,temperate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_003280025.1,Prochlorococcus sp. AG-363-P06,Prochlorococcus_sp__AG_363_P06,Atlantic Ocean,single cell amplified by WGA-X; seawater,1694833,single,temperate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_003326205.1,Nostoc sp. ATCC 43529,Nostoc_sp__ATCC_43529,USA: New Jersey,non-axenic culture from lake water,8458523,filament,temperate,90,52,4,0,3,3,0,0,18,20,0,0,0,2,0,1,0,3,0,2,4,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
GCA_003326215.1,Nostoc minutum NIES-26,Nostoc_minutum_NIES_26,Japan: Okinawa: Ishigaki Island,non-axenic culture,9839803,filament,temperate,93,67,4,0,2,4,0,0,22,22,0,0,0,3,0,1,0,3,0,1,3,1,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
GCF_003326245.1,Nostoc sp. ATCC 53789,Nostoc_sp__ATCC_53789,United Kingdom: Scotland; Arron Island,Lichen,8536834,filament,temperate,99,60,5,0,2,4,0,0,25,17,0,0,0,2,0,1,0,3,0,2,3,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
GCA_003386495.1,Microcystis wesenbergii TW10,Microcystis_wesenbergii_TW10,China: Jiangsu,freshwater from Lake Taihu,4556116,single,temperate,13,5,0,1,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
GCA_003388675.1,Microcystis aeruginosa DA14,Microcystis_aeruginosa_DA14,China: Yunnan,freshwater from Lake Dianchi,5140879,single,temperate,13,5,0,2,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_003390815.1,Microcystis flos-aquae TF09,Microcystis_flos_aquae_TF09,China: Jiangsu,freshwater from Lake Taihu,5100068,single,temperate,12,5,0,1,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_003712085.1,Synechococcus sp. YX04-3,Synechococcus_sp__YX04_3,China: South China Sea,Synechococcus sp. YX04-3 co-culture from sea water,2459680,single,temperate,6,0,0,0,1,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_003846445.1,Synechococcus elongatus PCC 11801,Synechococcus_elongatus_PCC_11801,India: Powai Lake; Mumbai,Powai Lake,2691022,single,temperate,9,2,0,1,1,2,0,0,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCF_003957805.1,Synechococcus elongatus UTEX 3055,Synechococcus_elongatus_UTEX_3055,USA: Waller Creek; Texas,ENVO:00002006,2881223,single,temperate,11,2,0,1,2,2,0,0,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
GCF_004209775.1,Synechococcus sp. WH 8101,Synechococcus_sp__WH_8101,USA:Woods Hole,coastal seawater collected at Woods Hole; MA,2630292,single,temperate,12,0,0,0,1,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_004292515.1,Oscillatoriales cyanobacterium,Oscillatoriales_cyanobacterium,USA: California; Eel River; Mainstem Eel River near Holmes Flat,microbial mat material,3980870,filament,temperate,41,10,2,2,1,3,0,0,11,3,2,0,0,0,1,0,0,2,0,1,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
GCA_004292695.1,Nostocales cyanobacterium,Nostocales_cyanobacterium,USA: California; Eel River; Middle Fork Eel River downstream of confluence with Black Butte river,microbial mat material,5393899,filament,temperate,43,19,3,0,1,4,0,0,10,9,1,0,0,1,1,0,0,2,0,3,6,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
GCA_004292745.1,Oscillatoriales cyanobacterium,Oscillatoriales_cyanobacterium,USA: California; Eel River; Larabee Creek near mouth,microbial mat material,5909242,filament,temperate,78,43,4,1,1,3,0,0,12,8,10,0,0,0,1,0,0,1,0,3,2,2,0,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
GCA_004292775.1,Oscillatoriales cyanobacterium,Oscillatoriales_cyanobacterium,USA: California; Eel River; Dobbyn Creek near Fort Seward,microbial mat material,7461196,filament,temperate,99,62,6,2,0,4,0,0,15,10,14,0,0,0,3,0,0,2,0,2,1,2,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
GCA_004292845.1,Oscillatoriales cyanobacterium,Oscillatoriales_cyanobacterium,USA: California; Eel River; Dobbyn Creek near Fort Seward,microbial mat material,7090442,filament,temperate,92,62,6,2,0,4,0,0,14,9,14,0,0,0,3,0,0,2,0,2,1,2,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
GCA_004292955.1,Oscillatoriales cyanobacterium,Oscillatoriales_cyanobacterium,USA: California; Eel River; Middle Fork Eel River,microbial mat material,7300262,filament,temperate,100,64,6,2,0,4,0,0,17,9,13,0,0,0,3,0,0,2,0,3,1,2,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
GCA_004293075.1,Oscillatoriales cyanobacterium,Oscillatoriales_cyanobacterium,USA: California; Eel River; South Fork Eel River near Phillipsville,microbial mat material,7270377,filament,temperate,93,57,5,2,1,5,0,0,12,9,13,0,0,0,3,0,0,2,0,2,1,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
GCA_004293365.1,Oscillatoriales cyanobacterium,Oscillatoriales_cyanobacterium,USA: California; Eel River; South Fork Eel River near Piercy,microbial mat material,7298254,filament,temperate,91,60,5,2,1,5,0,0,12,9,13,0,0,0,3,0,0,2,0,1,1,2,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
GCA_004293705.1,Oscillatoriales cyanobacterium,Oscillatoriales_cyanobacterium,USA: California; Eel River; Elder Creek,microbial mat material,7078622,filament,temperate,96,60,6,3,0,4,0,0,14,9,14,0,0,0,3,0,0,2,0,2,1,2,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
GCA_004293745.1,Oscillatoriales cyanobacterium,Oscillatoriales_cyanobacterium,USA: California; Eel River; Elder Creek,microbial mat material,5745940,filament,temperate,72,37,3,2,2,4,0,0,11,6,7,0,0,0,2,0,0,2,0,2,1,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
GCA_004294035.1,Oscillatoriales cyanobacterium,Oscillatoriales_cyanobacterium,USA: California; Eel River; South Fork Eel River near Leggett,microbial mat material,7027012,filament,temperate,87,62,6,2,0,4,0,0,12,9,14,0,0,0,3,0,0,2,0,2,1,2,0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
GCA_004294275.1,Oscillatoriales cyanobacterium,Oscillatoriales_cyanobacterium,USA: California; Eel River; Cedar Creek,microbial mat material,7199038,filament,temperate,95,59,6,3,1,3,0,0,16,9,13,0,0,0,3,0,0,2,0,2,1,2,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
GCA_004294345.1,Oscillatoriales cyanobacterium,Oscillatoriales_cyanobacterium,USA: California; Eel River; South Fork Eel near Cedar Creek,microbial mat material,7390914,filament,temperate,94,60,6,3,0,3,0,0,17,12,13,0,0,0,3,0,0,2,0,1,1,2,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
GCA_004294385.1,Oscillatoriales cyanobacterium,Oscillatoriales_cyanobacterium,USA: California; Eel River; Elder Creek,microbial mat material,6033591,filament,temperate,76,41,3,1,2,4,0,0,13,6,7,0,0,0,2,0,0,2,0,2,1,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
GCA_004299065.1,Phormidium sp. SL48-SHIP,Phormidium_sp__SL48_SHIP,Russia: Salt Lake 48; Novosibirsk region; Kulunda; Altai Krai,microbial mat of salt lake,4384607,filament,temperate,58,27,6,2,3,4,0,0,13,3,2,0,0,0,1,0,0,2,0,6,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
GCF_004332405.1,Synechococcus sp. BS56D,Synechococcus_sp__BS56D,Bulgaria: Black Sea,Marine (Black Sea),2303823,single,temperate,11,1,0,0,1,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_004332415.1,Synechococcus sp. BS55D,Synechococcus_sp__BS55D,Bulgaria: eastern Black Sea,Marine (Black Sea),2235215,single,temperate,10,1,0,0,1,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_005402765.1,Planktothrix agardhii CCAP 1459/11A,Planktothrix_agardhii_CCAP_1459_11A,United Kingdom:Windermere Cumbria,water,5512454,filament,temperate,37,25,2,2,3,3,0,0,16,5,1,0,0,0,2,0,0,2,0,4,2,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
GCF_005402885.1,Sphaerospermopsis reniformis,Sphaerospermopsis_reniformis,Japan:Osaka; Fujiidera Fujiidera,pond water,6025023,filament,temperate,22,13,1,1,3,2,0,0,10,8,0,0,0,1,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
GCA_005518205.2,Hormoscilla sp. GUM202,Hormoscilla_sp__GUM202,Guam: Anae Island Reef; Piti Bomb Holes,sponge tissue,6869623,filament,temperate,23,8,0,3,3,1,0,0,7,4,0,0,0,0,1,0,0,1,0,1,1,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
GCF_005577135.1,Synechococcus sp. PCC 11901,Synechococcus_sp__PCC_11901,Singapore: near Pulau Ubin,estuarine water [ENVO:01000301],3471813,single,temperate,18,11,1,2,2,3,0,0,11,4,0,0,0,1,0,0,0,2,0,3,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
GCF_006861605.1,Pseudanabaena sp. UWO310,Pseudanabaena_sp__UWO310,Canada: Ontario; Algonquin Park; Dickson Lake,lake water,5264332,filament,temperate,49,54,5,4,1,4,0,0,11,7,0,0,0,0,1,0,0,1,0,6,8,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
GCF_006937785.1,Pseudanabaena sp. UWO311,Pseudanabaena_sp__UWO311,Canada: Ontario; Algonquin Park; Dickson Lake,lake water,5211636,filament,temperate,42,55,7,5,1,4,0,0,13,9,0,0,0,0,0,0,0,2,0,7,8,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11
GCA_007095475.1,Microcystis aeruginosa Ma_QC_C_20070703_M131,Microcystis_aeruginosa_Ma_QC_C_20070703_M131,Canada: Quebec; Champlain Lake,non-axenic culture from freshwater,4881837,single,cold-freezing,11,6,0,1,2,1,0,0,6,5,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_007095495.1,Microcystis sp. M_QC_C_20170808_M9Col,Microcystis_sp__M_QC_C_20170808_M9Col,Canada: Quebec; Champlain Lake,Microcystis colony from freshwater,4486024,single,cold-freezing,12,6,0,1,2,1,0,0,7,4,0,0,0,0,0,0,0,1,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007095515.1,Microcystis sp. M_QC_C_20170808_M2Col,Microcystis_sp__M_QC_C_20170808_M2Col,Canada: Quebec; Champlain Lake,Microcystis colony from freshwater,4522887,single,cold-freezing,12,6,0,1,2,1,0,0,7,4,0,0,0,0,0,0,0,1,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007095565.1,Microcystis sp. M_OC_Ca_00000000_S217Cul,Microcystis_sp__M_OC_Ca_00000000_S217Cul,Canada: Quebec; Caron Lake,non-axenic culture from freshwater,4819436,single,cold-freezing,12,6,0,1,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007095585.1,Microcystis sp. M_OC_Ca_00000000_C217Col,Microcystis_sp__M_OC_Ca_00000000_C217Col,Canada: Quebec; Caron Lake,Microcystis colony from freshwater,4817042,single,cold-freezing,11,6,0,1,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007095605.1,Microcystis flos-aquae Ma_QC_C_20070823_S18D,Microcystis_flos_aquae_Ma_QC_C_20070823_S18D,Canada: Quebec; Champlain Lake,non-axenic culture from freshwater,4694014,single,cold-freezing,12,6,0,2,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007095665.1,Microcystis aeruginosa Ma_OC_H_19870700_S124,Microcystis_aeruginosa_Ma_OC_H_19870700_S124,Canada: Ontario; Heart lake,non-axenic culture from freshwater,4357516,single,temperate,12,5,0,1,3,1,0,0,7,5,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_007095685.1,Microcystis aeruginosa Ma_OC_LR_19540900_S633,Microcystis_aeruginosa_Ma_OC_LR_19540900_S633,Canada: Ontario; Little Rideau,non-axenic culture from freshwater,4728333,single,temperate,13,5,0,1,2,1,0,0,9,5,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007095695.1,Microcystis aeruginosa Ma_AC_P_19900807_S300,Microcystis_aeruginosa_Ma_AC_P_19900807_S300,Canada: Alberta; Pretzlaff Pond,non-axenic culture from freshwater,4512000,single,temperate,13,5,0,1,2,1,0,0,9,5,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007095705.1,Microcystis sp. Msp_OC_L_20101000_S702,Microcystis_sp__Msp_OC_L_20101000_S702,Canada: Ontario; Lakeland,non-axenic culture from freshwater,4799965,single,cold-freezing,13,5,0,1,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007095745.1,Microcystis aeruginosa Ma_MB_F_20061100_S19D,Microcystis_aeruginosa_Ma_MB_F_20061100_S19D,Brazil: Minas Gerais; Furnas Lake,non-axenic culture from freshwater,4718990,single,temperate,13,5,0,2,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_007095755.1,Microcystis aeruginosa Ma_MB_F_20061100_S19,Microcystis_aeruginosa_Ma_MB_F_20061100_S19,Brazil: Minas Gerais; Furnas Lake,non-axenic culture from freshwater,4678010,single,temperate,12,5,0,2,1,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_007095785.1,Microcystis aeruginosa Ma_SC_T_19800800_S464,Microcystis_aeruginosa_Ma_SC_T_19800800_S464,Canada: Saskatchewan; Tramping Lake,non-axenic culture from freshwater,4771055,single,cold-freezing,12,6,0,1,2,1,0,0,8,5,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007095795.1,Microcystis aeruginosa Ma_MB_S_20031200_S102D,Microcystis_aeruginosa_Ma_MB_S_20031200_S102D,Brazil: Minas Gerais; Santa Lake,non-axenic culture from freshwater,4635690,single,temperate,18,5,0,2,2,1,0,0,9,4,0,0,0,0,0,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_007095845.1,Microcystis aeruginosa Ma_MB_S_20031200_S102,Microcystis_aeruginosa_Ma_MB_S_20031200_S102,Brazil: Minas Gerais; Santa Lake,non-axenic culture from freshwater,4569153,single,temperate,17,5,0,2,2,1,0,0,9,4,0,0,0,0,0,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_007095855.1,Microcystis aeruginosa Ma_MB_F_20061100_S20D,Microcystis_aeruginosa_Ma_MB_F_20061100_S20D,Brazil: Minas Gerais; Furnas Lake,non-axenic culture from freshwater,4504533,single,temperate,12,5,0,1,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007095885.1,Microcystis aeruginosa Ma_MB_F_20061100_S20,Microcystis_aeruginosa_Ma_MB_F_20061100_S20,Brazil: Minas Gerais; Furnas Lake,non-axenic culture from freshwater,4425942,single,temperate,12,5,0,1,2,1,0,0,7,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007095915.1,Microcystis aeruginosa Ma_QC_Ch_20071001_S25D,Microcystis_aeruginosa_Ma_QC_Ch_20071001_S25D,Canada: Quebec; Reservoir Choiniere,non-axenic culture from freshwater,4611470,single,cold-freezing,12,6,0,2,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007095925.1,Microcystis aeruginosa Ma_QC_Ch_20071001_M135,Microcystis_aeruginosa_Ma_QC_Ch_20071001_M135,Canada: Quebec; Reservoir Choiniere,non-axenic culture from freshwater,4744234,single,cold-freezing,12,5,0,2,2,1,0,0,7,4,0,0,0,0,0,0,0,1,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007096035.1,Microcystis wesenbergii Mw_QC_S_20081001_S30D,Microcystis_wesenbergii_Mw_QC_S_20081001_S30D,Canada: Quebec; Selby lake,non-axenic culture from freshwater,4460315,single,cold-freezing,11,5,0,1,2,1,0,0,7,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007096045.1,Microcystis novacekii Mn_MB_F_20050700_S1,Microcystis_novacekii_Mn_MB_F_20050700_S1,Brazil: Minas Gerais; Furnas Lake,non-axenic culture from freshwater,4698201,single,temperate,10,6,0,1,2,1,0,0,7,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007096105.1,Microcystis wesenbergii Mw_QC_B_20070930_S4D,Microcystis_wesenbergii_Mw_QC_B_20070930_S4D,Canada: Quebec; Brome Lake,non-axenic culture from freshwater,4592370,single,cold-freezing,10,5,0,1,2,1,0,0,7,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007096465.1,Microcystis viridis Mv_BB_P_19951000_S69D,Microcystis_viridis_Mv_BB_P_19951000_S69D,Brazil: Belo Horizonte; Pampulha lake,non-axenic culture from freshwater,4825200,single,temperate,12,6,0,1,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_007096475.1,Microcystis viridis Mv_BB_P_19951000_S68D,Microcystis_viridis_Mv_BB_P_19951000_S68D,Brazil: Belo Horizonte; Pampulha lake,non-axenic culture from freshwater,4811176,single,temperate,12,6,0,1,2,1,0,0,8,4,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_007096485.1,Microcystis novacekii Mn_MB_F_20050700_S1D,Microcystis_novacekii_Mn_MB_F_20050700_S1D,Brazil: Minas Gerais; Furnas Lake,non-axenic culture from freshwater,4788557,single,temperate,11,6,0,1,2,1,0,0,7,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
